id,附加费,币种,20底,40底,40HQ底,单票,付款方式
179953,TLX,CNY,,,,450.0,PREPAID
167404,AFR,USD,30,30,30,,PREPAID

133478,EIR,CNY,40,40,40,,PREPAID
179953,ISPS,USD,10,10,10,,PREPAID
167404,LSS,USD,15,30,30,,PREPAID
133478,AFR,USD,30,30,30,,PREPAID
133478,LSS,USD,15,30,30,,PREPAID
167403,THC,CNY,646,997,997,,PREPAID
179938,THC,CNY,890,1365,1365,,PREPAID
167403,TLX,CNY,,,,450.0,PREPAID
179938,DOC,CNY,,,,450.0,PREPAID
133477,THC,CNY,646,997,997,,PREPAID
167403,DOC,CNY,,,,500.0,PREPAID
133477,TLX,CNY,,,,450.0,PREPAID
179938,SEAL,CNY,30,30,30,,PREPAID
167403,SEAL,CNY,30,30,30,,PREPAID
133477,DOC,CNY,,,,500.0,PREPAID
179938,TLX,CNY,,,,450.0,PREPAID
179938,LSS,USD,16,32,32,,PREPAID
133477,SEAL,CNY,30,30,30,,PREPAID
179938,ISPS,USD,10,10,10,,PREPAID
133477,EIR,CNY,40,40,40,,PREPAID
167403,AFR,USD,30,30,30,,PREPAID
179934,THC,CNY,890,1365,1365,,PREPAID
167403,LSS,USD,15,30,30,,PREPAID
179934,DOC,CNY,,,,450.0,PREPAID
133477,LSS,USD,15,30,30,,PREPAID
AID
179934,SEAL,CNY,30,30,30,,PREPAID
179923,DOC,CNY,,,,450.0,PREPAID
179934,TLX,CNY,,,,450.0,PREPAID
179923,SEAL,CNY,30,30,30,,PREPAID
179934,LSS,USD,16,32,32,,PREPAID
179923,TLX,CNY,,,,450.0,PREPAID
167402,THC,CNY,646,997,997,,PREPAID
179934,ISPS,USD,10,10,10,,PREPAID
179923,LSS,USD,16,32,32,,PREPAID
133476,THC,CNY,646,997,997,,PREPAID
167402,TLX,CNY,,,,450.0,PREPAID
179923,ISPS,USD,10,10,10,,PREPAID
167402,DOC,CNY,,,,500.0,PREPAID
133476,DOC,CNY,,,,500.0,PREPAID
167402,SEAL,CNY,30,30,30,,PREPAID
133476,SEAL,CNY,30,30,30,,PREPAID
167402,EIR,CNY,40,40,40,,PREPAID
133476,EIR,CNY,40,40,40,,PREPAID
179919,THC,CNY,890,1365,1365,,PREPAID
133476,AFR,USD,30,30,30,,PREPAID
179919,DOC,CNY,,,,450.0,PREPAID

133476,LSS,USD,15,30,30,,PREPAID
179919,SEAL,CNY,30,30,30,,PREPAID
179908,SEAL,CNY,30,30,30,,PREPAID
179908,TLX,CNY,,,,450.0,PREPAID
179919,TLX,CNY,,,,450.0,PREPAID
179908,ISPS,USD,10,10,10,,PREPAID
167401,THC,CNY,646,997,997,,PREPAID
179919,LSS,USD,16,32,32,,PREPAID

179908,LSS,USD,16,32,32,,PREPAID
94049,TLX,CNY,,,,450.0,PREPAID
167401,TLX,CNY,,,,450.0,PREPAID
179919,ISPS,USD,10,10,10,,PREPAID
167401,DOC,CNY,,,,500.0,PREPAID
94049,DOC,CNY,,,,500.0,PREPAID
167401,SEAL,CNY,30,30,30,,PREPAID
179893,THC,CNY,890,1365,1365,,PREPAID
94049,SEAL,CNY,30,30,30,,PREPAID
AID
179893,DOC,CNY,,,,450.0,PREPAID
94049,EIR,CNY,40,40,40,,PREPAID

179904,DOC,CNY,,,,450.0,PREPAID
179893,SEAL,CNY,30,30,30,,PREPAID
179904,SEAL,CNY,30,30,30,,PREPAID
179893,TLX,CNY,,,,450.0,PREPAID
179904,TLX,CNY,,,,450.0,PREPAID
179904,ISPS,USD,10,10,10,,PREPAID
179893,ISPS,USD,10,10,10,,PREPAID
179904,LSS,USD,16,32,32,,PREPAID
179893,LSS,USD,16,32,32,,PREPAID
