id,起运港,目的港,船公司,目的港挂靠,航线代码,LINE,航程,船期,中转港,港区,20底,40底,40HQ底,起始日期,结束日期,供应商,备注,备注1,备注2
199552,XIAMEN,"Seattle,WA",YML,T18,USNW,PN3,23,4/6,Hong Kong,GUOJIHUOGUI,1260,1570,1570,2019-08-01,2019-08-14,顺圆,Subject to AMS & D/O Fee.,,
199378,XIAMEN,"Seattle,WA",MSK,SEATTLE T-46,USNW,TP9,24,6/1,,SONGYU,1351,1695,1695,2019-08-01,2019-08-14,顺圆,Subject to AMS & D/O Fee.,,
200268,XIAMEN,"St Louis,MO",COSCON,APL,USIPI,AAS2,26,4/7,"Los Angeles,CA",YUANHAI,3110,3620,3620,2019-08-15,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
200323,XIAMEN,"St Louis,MO",COSCON,ECT,USIPI,AAS3,25,2/4,"Los Angeles,CA",HAIRUN,3110,3620,3620,2019-08-15,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
200020,XIAMEN,"St Louis,MO",APL,APL,USIPI,SC1,23,5/7,"Los Angeles,CA",YUANHAI,3360,3930,3930,2019-08-07,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
200039,XIAMEN,"St Louis,MO",APL,Goergia,USRIPI,AW2,40,6/1,"Savannah,GA",YUANHAI,3240,4030,4030,2019-08-07,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
200054,XIAMEN,"St Louis,MO",APL,Goergia,USRIPI,AW5,39,2/5,"Savannah,GA",YUANHAI,3240,4030,4030,2019-08-07,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
201020,XIAMEN,"St Louis,MO",APL,VIG,USRIPI,AW5,44,2/5,"Norfolk,VA",YUANHAI,3240,4030,4030,2019-08-07,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
219012,XIAMEN,"St Louis,MO",YML,YUSEN,USIPI,PS7,29,4/6,"Los Angeles,CA",HAIRUN,3560,4200,4200,2019-08-01,2019-08-14,顺圆,Subject to AMS & D/O Fee.,,
199543,XIAMEN,"St Louis,MO",YML,NIT,USRIPI,EC3,42,4/6,"Norfolk,VA",GUOJIHUOGUI,3510,4210,4210,2019-08-01,2019-08-14,顺圆,Subject to AMS & D/O Fee.,,
212288,XIAMEN,"St Louis,MO",APL,MAHER,USRIPI,AW2,38,6/1,"New York,NY",YUANHAI,3480,4330,4330,2019-08-01,2019-08-14,顺圆,Subject to AMS & D/O Fee.,,
200249,XIAMEN,"Tampa,FL",COSCON,TAMPA BAYPORT,USGM,GME,32,2/4,,YUANHAI,2430,2900,2900,2019-08-15,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
200044,XIAMEN,"Toronto,ON",APL,VANTERM,CAIPI,WAX,27,2/4,"Vancouver,BC",YUANHAI,2490,3090,3090,2019-08-07,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
200295,XIAMEN,"Toronto,ON",COSCON,CCT,CAIPI,CPNW,35,4/5,"Vancouver,BC",YUANHAI,2840,3140,3140,2019-08-09,2019-08-14,顺圆,Subject to AMS & D/O Fee.,,
200328,XIAMEN,"Toronto,ON",COSCON,VANTERM,CAIPI,MPNW,27,2/4,"Vancouver,BC",YUANHAI,2840,3140,3140,2019-08-09,2019-08-14,顺圆,Subject to AMS & D/O Fee.,,
200296,XIAMEN,"Toronto,ON",COSCON,FAIRVIEW,CAIPI,CPNW,32,4/5,"Prince Rupert,BC",YUANHAI,2930,3240,3240,2019-08-09,2019-08-14,顺圆,Subject to AMS & D/O Fee.,,
199379,XIAMEN,"Toronto,ON",MSK,FAIRVIEW,CAIPI,TP8,30,5/7,"Prince Rupert,BC",SONGYU,2711,3395,3395,2019-08-01,2019-08-14,顺圆,Subject to AMS & D/O Fee.,,
199380,XIAMEN,"Toronto,ON",MSK,CENTERM,CAIPI,TP9,28,6/1,"Vancouver,BC",SONGYU,2711,3395,3395,2019-08-01,2019-08-14,顺圆,Subject to AMS & D/O Fee.,,
219514,XIAMEN,"Vancouver,BC",HSD,CENTERM,CAWC,UPAS SLING 4,21,6/1,,SONGYU,1103,1357,1357,2019-08-13,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
200040,XIAMEN,"Vancouver,BC",APL,VANTERM,CAWC,WAX,19,2/4,,YUANHAI,1140,1390,1390,2019-08-07,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
200294,XIAMEN,"Vancouver,BC",COSCON,VANTERM,CAWC,MPNW,19,2/4,,YUANHAI,1180,1450,1450,2019-08-09,2019-08-14,顺圆,Subject to AMS & D/O Fee.,,
199381,XIAMEN,"Vancouver,BC",MSK,CENTERM,CAWC,TP9,21,6/1,,SONGYU,1351,1695,1695,2019-08-01,2019-08-14,顺圆,Subject to AMS & D/O Fee.,,
201084,XIAMEN,"Wilmington,NC",MSK,WCT L194,USEC,TP10,42,6/2,Busan,HAIRUN,2382,2685,2685,2019-08-01,2019-08-14,顺圆,Subject to AMS & D/O Fee.,,
183412,Haiphong,"Baltimore,MD",MSK,SEAGIRT,USEC,755.0,58,3/4,Shanghai,,2262,2835,2835,2019-08-15,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,"小柜(20),20.0大柜(40)24.0"
183029,Haiphong,"Baltimore,MD",EMC,SEAGIRT,USEC,AUE,41,2/3,Hong Kong,,2165,2690,2690,2019-08-15,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,"小柜(20),21.0大柜(40)26.0"
183047,Haiphong,"Baltimore,MD",EMC,SEAGIRT,USEC,AUE,36,2/3,Kaohsiung,,2165,2690,2690,2019-08-15,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,"小柜(20),21.0大柜(40)26.0"
183176,Haiphong,"Baltimore,MD",MSC,SEAGIRT,USEC,EMPIRE,41,1/2,Hong kong,,2030,2540,2540,2019-08-12,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,"小柜(20),21.69大柜(40)26.0"
210168,Haiphong,"Baltimore,MD",ZIM,SMT,USEC,ZBA,47,5/2,Shanghai,,2720,2790,2790,2019-08-13,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,"小柜(20),17.25大柜(40)26.0"
183135,Haiphong,"Birmingham,AL",MSC,SSA,USIPI,JAGUAR,49,6/1,"Long Beach,CA",,2710,4640,4640,2019-08-12,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,"小柜(20),17.25大柜(40)19.5"
210909,Haiphong,"Calgary,AB",YML,GCT,CAIPI,PN2,31,5/7,"Vancouver,BC",,2270,2660,2660,2019-08-07,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,"小柜(20),17.25大柜(40)19.05"
182149,Haiphong,"Charleston,SC",YML,WANDO,USEC,EC4,39,5/1,Singapore,,2000,2490,2490,2019-08-15,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,"小柜(20),20.0大柜(40)24.0"
210918,Haiphong,"Calgary,AB",YML,GCTDP,CAIPI,PN3,26,5/7,"Vancouver,BC",,2270,2660,2660,2019-08-07,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,"小柜(20),17.25大柜(40)19.05"
182661,Haiphong,"Charleston,SC",APL,WANDO,USEC,AW2,42,5/7,Hong Kong,,2030,2540,2540,2019-08-16,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,"小柜(20),20.0大柜(40)24.0"
199640,Haiphong,"Calgary,AB",CMA,APL CENTERM,CAIPI,Cimex 7 Twin Peaks Express,32,6/7,"Vancouver,BC",,2070,2570,2570,2019-08-12,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,"小柜(20),17.2大柜(40)19.96"
183910,Haiphong,"Charleston,SC",ZIM,WANDO,USEC,ZCP,39,5/6,Shanghai,,2070,2590,2590,2019-08-13,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,"小柜(20),17.25大柜(40)26.0"
199641,Haiphong,"Calgary,AB",CMA,PRBCT,CAIPI,Cimex 7 Twin Peaks Express,27,6/7,"Prince Rupert,BC",,2070,2570,2570,2019-08-12,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,"小柜(20),17.2大柜(40)19.96"
183725,Haiphong,"Charleston,SC",ONE,WANDO,USEC,EC4,42,5/6,Cai Mep,,2100,2620,2620,2019-08-15,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,"小柜(20),20.0大柜(40)24.0"
182022,Haiphong,"Calgary,AB",COSCON,CCT,CAIPI,OPNW,28,3/4,"Vancouver,BC",,2370,2670,2670,2019-08-15,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,"小柜(20),21.5大柜(40)25.0"
183418,Haiphong,"Charleston,SC",MSK,WANDO,USEC,754.0,41,6/7,Singapore,,2262,2835,2835,2019-08-15,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,"小柜(20),20.0大柜(40)24.0"
182022,Haiphong,"Calgary,AB",COSCON,CCT,CAIPI,OPNW,28,3/4,"Vancouver,BC",,2370,2670,2670,2019-08-15,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,"小柜(20),21.5大柜(40)25.0"
183027,Haiphong,"Charleston,SC",EMC,WANDO,USEC,SAX,43,5/6,Hong Kong,,2165,2690,2690,2019-08-15,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,"小柜(20),21.0大柜(40)26.0"
183131,Haiphong,"Calgary,AB",MSC,FAIRVIEW,CAIPI,NEW ORIENT,46,6/1,"Prince Rupert,BC",,2110,2640,2640,2019-08-12,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,"小柜(20),17.25大柜(40)19.5"
183177,Haiphong,"Charleston,SC",MSC,WANDO,USEC,EMERALD,49,1/2,Hong kong,,2030,2540,2540,2019-08-12,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,"小柜(20),21.5大柜(40)26.0"
182023,Haiphong,"Calgary,AB",COSCON,FAIRVIEW,CAIPI,CPNW,26,3/4,"Prince Rupert,BC",,2460,2770,2770,2019-08-15,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,"小柜(20),19.97大柜(40)19.97"
183184,Haiphong,"Charleston,SC",MSC,WANDO,USEC,AMERICA,40,6/1,Singapore,,2030,2540,2540,2019-08-12,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,"小柜(20),21.5大柜(40)26.0"
182023,Haiphong,"Calgary,AB",COSCON,FAIRVIEW,CAIPI,CPNW,26,3/4,"Prince Rupert,BC",,2460,2770,2770,2019-08-15,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,"小柜(20),19.97大柜(40)19.97"
183904,Haiphong,"Calgary,AB",ZIM,TDP,CAIPI,ZMP,34,5/6,"Vancouver,BC",,2440,3050,3050,2019-08-07,2019-08-14,顺圆,Subject to AMS & D/O Fee.,,"小柜(20),17.25大柜(40)19.96"
